검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
사회복지법인장산,사회복지법인장산,중소기업,광주 서구,그 외 기타 비거주 복지 서비스업,16억 7천만원(2018.02.28),"6억 8,670만원(2018.02.28)",나신영,1956.07.14(70년차)
엔씨텍크놀로지,-,-,-,-,-,-,-,-
평산종합건설,평산종합건설,중소기업,세종,토목시설물 건설업,14억원(2024.06.30),26억 9천만원(2024.06.30),손승재,1999.02.11(27년차)
청우종합건설,청우종합건설,중소기업,경기 광주시,건설·시공·토목·조경,20억원,150억,김행철,1996(30년차)
청우종합건설,청우종합건설,-,-,-,-,-,조인옥,-
청우종합건설,청우종합건설,중소기업,부산 사상구,기타 비주거용 건물 건설업,"7억 1,962만원(2023.12.31)",120억 9천만원(2023.12.31),황주경,2013.05.03(13년차)
청우종합건설,청우종합건설,중소기업,충북 청주시,건물 건설업,5억원(2024.12.31),16억 4백만원(2024.12.31),이명희,2011.04.29(15년차)
청우종합건설,청우종합건설,중소기업,대전 서구,단독 주택 건설업,"5억 1,000만원(2024.12.31)",30억 9천만원(2024.12.31),진선재,2017.02.17(9년차)
페리온어학원,페리온어학원,중소기업,서울 양천구,일반 교과 학원,"2,000만원(2020.12.31)","6억 2,410만원(2020.12.31)",권민경,2016.01.05(10년차)
비봉산관광,-,-,-,-,-,-,-,-
대명제분,-,-,-,-,-,-,-,-
한국온실작물연구소,한국온실작물연구소,비영리단체·교육재단,전남 담양군,컨설팅·연구·조사,-,7억,서범석,1995.06.30(31년차)
제이앤원키친,-,-,-,-,-,-,-,-
한아름,한아름,중소기업,경기 성남시,부동산·중개·임대,"5억 5,000만원",164억,강주택,2001.05.17(25년차)
한아름,한아름,중소기업,서울 마포구,"미장, 타일 및 방수 공사업","3억 5,000만원(2024.12.31)",71억 5천만원(2024.12.31),손경선,1998.03.26(28년차)
한아름,한아름,중소기업,서울 구로구,포털·컨텐츠·커뮤니티,-,-,박승현,-
한아름,한아름,중소기업,서울 성동구,장례식장 및 장의관련 서비스업,"5,000만원(2023.12.31)",118억 4천만원(2023.12.31),허오환,2018.05.01(8년차)
한아름,한아름,중소기업,제주 제주시,슈퍼마켓,3억원(2018.12.31),45억 1천만원(2018.12.31),김금자,2010.03.20(16년차)
한아름,한아름,중소기업,경기 남양주시,곡물 및 유지작물 도매업,"5,000만원(2020.12.31)",59억 4천만원(2020.12.31),김준배,2013.01.01(13년차)
한아름,한아름,중소기업,충남 천안시,기타 과실ㆍ채소 가공 및 저장 처리업,"5,000만원(2024.12.31)",113억 5천만원(2024.12.31),이상란,2012.03.01(14년차)
한아름,한아름,중소기업,울산 남구,여행사업,"1억 5,000만원(2020.12.31)","1,708만원(2020.12.31)",강달선,2015.09.01(11년차)
